Exp_day,Datum,Cosm,Treatment,Secchi diepte,Bodemzicht,Turbiditeit,BLUE,GREEN,BROWN,TotCHL,BLUE50,GREEN50,BROWN50,disNH4,disPO4,disNO2,disNO3 mg/l,DisN,partP mg/L,TP,Al ppm,Ca ppm,Fe ppm,La ppm,Mg ppm,Mn ppm,P ppm,S ppm,As ug/L,Temp,DepthY,SpCond,SpCond.1,Sal,DO%,DO,pH,light_k,light_perc_bottom,light_4perc
2,27/06/2019,1,Gebaggerd,85,FALSE, ,42.7,0,27.09,69.79, , , ,0.132,0,0.042,4.395,4.569,54.81818182,54.81818182,,,,,,,,,,24.26402899,1.157826087,0.447826087,450.1507246,0.22826087,129.4598551,10.77715942,9.501275362,1.965669193,2.805889389,1.627944321
2,27/06/2019,2,Controle,65,FALSE, ,6.16,0,58.66,64.82, , , ,0.129,0,0.053,4.628,4.81,55.43103448,55.43103448,,,,,,,,,,24.13894118,1.158529412,0.458823529,450.0137255,0.228823529,112.2543137,9.371960784,9.635,1.812483125,5.102661719,1.765533679
2,27/06/2019,3,Belucht,63,FALSE, ,6.03,0,60.2,66.23, , , ,0.12,0,0,2.12,2.24,74.27272727,74.27272727,,,,,,,,,,24.29015625,1.141875,0.4,447.96875,0.22625,109.7889423,9.139086538,9.683173077,1.822619295,2.631801687,1.755714981
2,27/06/2019,4,Belucht,58,FALSE, ,5.65,0,60.51,66.16, , , ,0.128,0,0.019,3.071,3.218,74.72727273,74.72727273,,,,,,,,,,24.28864583,1.151875,0.4,447.15625,0.223125,116.6083333,9.7046875,9.651458333,2.270340924,1.895852807,1.409479945
2,27/06/2019,5,IJzerkalkslib,68,FALSE, ,2.31,2.46,46.04,50.81, , , ,0.131,0,0.009,2.746,2.886,42.77777778,42.77777778,,,,,,,,,,24.399,1.159666667,0.426666667,447.525,0.224,140.7841667,11.69391667,9.607666667,1.863250775,3.992616477,1.717428509
2,27/06/2019,6,Phoslock,65,FALSE, ,4.88,0,56.5,61.38, , , ,0.122,0,0.051,4.064,4.237,65.72916667,65.72916667,,,,,,,,,,24.53515306,1.144285714,0.414285714,445.3214286,0.222142857,152.9728571,12.67385714,9.733,2.793383748,3.622948474,1.14556405
2,27/06/2019,7,Gebaggerd,90,FALSE, ,1.8,3.8,39.5,45.1, , , ,0.174,0,0.022,3.192,3.388,58.79310345,58.79310345,,,,,,,,,,24.77862745,1.145588235,0.4,440.5490196,0.22,143.0813725,11.79666667,9.704411765,1.686982553,1.886031219,1.896877946
2,27/06/2019,8,IJzerkalkslib,80,FALSE, ,5.13,0,56.36,61.49, , , ,0.177,0,0.04,3.816,4.033,70.09615385,70.09615385,,,,,,,,,,24.80965686,1.138235294,0.410294118,445.25,0.221764706,139.1281863,11.47093137,9.746609477,1.630449326,6.323523933,1.96264916
2,27/06/2019,9,Phoslock,70,FALSE, ,2.05,3.29,43.11,48.45, , , ,0.129,0,0.061,4.249,4.439,45.48076923,45.48076923,,,,,,,,,,24.86527414,1.15,0.416154971,446.7719996,0.226315789,146.239789,12.04370096,9.761540202,1.622772158,4.172997983,1.971934251
2,27/06/2019,10,IJzerkalkslib,75,FALSE, ,2.31,5.65,43.11,51.07, , , ,0.141,0,0.01,2.576,2.727,61.25,61.25,,,,,,,,,,25.0586875,1.1325,0.40625,444.91875,0.2215625,136.3175,11.1896875,9.791125,1.978388824,2.914662317,1.617477799
2,27/06/2019,11,Gebaggerd,70,FALSE, ,5.77,0,56.89,62.66, , , ,0.121,0,0,1.85,1.971,60.10204082,60.10204082,,,,,,,,,,24.2378,1.1575,0.435,449.175,0.2265,125.0435,10.4162,9.58755,3.36736196,0.513692785,0.950298791
2,27/06/2019,12,Belucht,58,FALSE, ,3.21,0,52.58,55.79, , , ,0.131,0,0.079,4.726,4.936,56.13207547,56.13207547,,,,,,,,,,24.24872549,1.148529412,0.4,447.7352941,0.223529412,106.3240196,8.856911765,9.659607843,2.567101713,1.025664118,1.24654196
2,27/06/2019,13,Phoslock,65,FALSE, ,3.46,0,50.27,53.73, , , ,0.122,0,0.023,3.144,3.289,67.87234043,67.87234043,,,,,,,,,,24.44123524,1.1464,0.441266667,449.6126667,0.228,130.8789619,10.8634219,9.586439048,3.009453176,0.947608773,1.063316095
2,27/06/2019,14,Controle,66,FALSE, ,4.36,0,54.9,59.26, , , ,0.13,0,0.011,2.602,2.743,61.53846154,61.53846154,,,,,,,,,,24.75229167,1.133125,0.4,446.0494792,0.221041667,139.8716146,11.54338542,9.668671875,2.342990296,1.138862408,1.365776036
2,27/06/2019,15,IJzerkalkslib,67,FALSE, ,3.98,0,52.97,56.95, , , ,0.135,0,0.027,2.983,3.145,61.15384615,61.15384615,,,,,,,,,,24.55203968,1.143333333,0.4,443.2972222,0.22,141.4071825,11.71504365,9.655111111,2.444627868,1.260245851,1.308992686
2,27/06/2019,16,Controle,75,FALSE, ,3.85,2.77,48.12,54.74, , , ,0.144,0,0.039,3.429,3.612,72.84313725,72.84313725,,,,,,,,,,24.72027902,1.14,0.4,440.03125,0.22,150.4236607,12.42180804,9.732198661,2.108734793,1.480902467,1.517497606
2,27/06/2019,17,Gebaggerd,85,FALSE, ,1.92,3.29,36.72,41.93, , , ,0.281,0,0.073,4.647,5.001,63.82352941,63.82352941,,,,,,,,,,24.60644841,1.155833333,0.402777778,439.9166667,0.220555556,149.7160317,12.39177381,9.679666667,2.095740216,0.609617862,1.526906806
2,27/06/2019,18,Belucht,65,FALSE, ,4.62,0,60.89,65.51, , , ,0.137,0,0.068,4.025,4.23,69.6969697,69.6969697,,,,,,,,,,24.5602381,1.161428571,0.4,444.6071429,0.22,126.7142857,10.49285714,9.806785714,2.593926201,1.626778054,1.233651134
2,27/06/2019,19,Phoslock,70,FALSE, ,0,3.8,37.03,40.83, , , ,0.14,0,0.045,3.609,3.794,57.02970297,57.02970297,,,,,,,,,,24.96602564,1.149230769,0.415384615,446.2307692,0.223846154,137.5179487,11.30538462,9.786666667,3.399213515,1.967637312,0.941394233
2,27/06/2019,20,Controle,80,FALSE, ,6.85,0,63.74,70.59, , , ,0.135,0,0.062,4.026,4.223,61.01010101,61.01010101,,,,,,,,,,25.03990741,1.139444444,0.411111111,444.3478836,0.221666667,137.6365079,11.30138889,9.779126984,2.683069746,1.504037908,1.192663741
7,03/07/2019,1,Gebaggerd,65,FALSE,12.7,1.24,12.19,12.45,25.88,0.67,7.58,7.08,0.291,0.004,0.012,2.13,2.433,78,78.004,0,41.94173,0.053846,0.000363,7.785847,0.00642,0.033464,14.59001,1.223521,23.56486842,1.140526316,0.4,418.1315789,0.21,161.5960526,13.63447368,9.5475,2.090899003,1.688044185,1.530442166
7,03/07/2019,2,Controle,60,FALSE,13.5,0.71,12.15,11.88,24.74,0,6.93,7.26,0.177,0.001,0,1.52,1.697,81.91666667,81.91766667,0,41.88944,0.035718,0.000697,7.776906,0.004063,0.030219,14.69304,0,23.47861111,1.136944444,0.4,419.4444444,0.21,155.6361111,13.15361111,9.438611111,2.139628495,2.569145772,1.495586738
7,03/07/2019,3,Belucht,65,FALSE,11.8,1.29,11.39,14.88,27.56,0,5.22,8.05,0.289,0.026,0,0.367,0.656,31.91666667,31.94266667,0,42.22756,0.026289,0,7.740076,0.002711,0.028274,14.55996,1.160794,23.43075,1.145,0.4,420.1,0.21,137.8475,11.6655,9.502,1.543522145,4.066565725,2.073180492
7,03/07/2019,4,Belucht,60,FALSE,14.3,2.29,13.86,16.6,32.75,0,6.17,6.06,0.27,0.011,0,0.689,0.959,77.66666667,77.67766667,0,41.7701,0.025204,0.000506,7.702455,0.003612,0.035929,14.61815,1.105999,23.48284314,1.148823529,0.4,419.2352941,0.21,140.1960784,11.84156863,9.652941176,2.237016554,2.806240777,1.430476674
7,03/07/2019,5,IJzerkalkslib,70,FALSE,14.7,1.19,12.84,12.71,26.74,0,7.16,6.31,0.212,0.003,0,1.694,1.906,29.16666667,29.16966667,0,40.84193,0.03802,0.000426,7.674646,0.004293,0.029899,14.85709,2.061311,23.5895098,1.145294118,0.4,422.8137255,0.21,165.6411765,13.96901961,9.37127451,2.137148212,1.757730102,1.497322451
7,03/07/2019,6,Phoslock,65,FALSE,10.6,0.52,11.77,10.05,22.34,0,5.6,6.2,0.214,0,0.042,2.528,2.784,102.1666667,102.1666667,0,41.13643,0.032174,0.001139,7.710937,0.004099,0.02575,14.62689,1.714515,23.58607843,1.142647059,0.4,419.0196078,0.21,162.8627451,13.73666667,9.516666667,1.833867479,1.511330939,1.744946152
7,03/07/2019,7,Gebaggerd,65,FALSE,12.3,1.14,16.76,10.88,28.78,0,4.95,2.4,0.262,0.006,0.005,1.765,2.032,58,58.006,0,40.46348,0.036449,0.0004,7.679392,0.012208,0.032139,14.47022,1.974072,23.38027778,1.151944444,0.4,413.6666667,0.21,150.0277778,12.70166667,9.195277778,2.420311728,0.711524378,1.32214374
7,03/07/2019,8,IJzerkalkslib,65,FALSE,12.4,1.38,13.48,10.51,25.37,0.87,5.61,7.37,0.234,0,0,1.296,1.53,98,98,0,40.09191,0.035827,0.000473,7.642632,0.006118,0.027593,14.82246,1.896926,23.41072917,1.136875,0.4,413.65625,0.21,151.4822917,12.81854167,9.264166667,2.353691163,2.719052353,1.359566646
7,03/07/2019,9,Phoslock,70,FALSE,12.7,1.85,13.75,8.31,23.91,0.77,6.87,6.6,0.37,0.002,0.049,2.731,3.15,88.08333333,88.08533333,0,40.98735,0.023378,0.00164,7.686526,0.005697,0.025997,14.56688,1.85655,23.33735294,1.143529412,0.4,415.3235294,0.21,142.1470588,12.04647059,9.255294118,2.077922008,2.504324016,1.540000052
7,03/07/2019,10,IJzerkalkslib,60,FALSE,15.1,0.71,10.78,10.14,21.63,0.48,5.22,6.48,0.216,0.004,0.022,1.834,2.072,88.33333333,88.33733333,0,40.83312,0.029901,0.001239,7.657613,0.005128,0.028771,14.5505,1.948116,23.27857143,1.141785714,0.4,414.3928571,0.21,146.4928571,12.43,9.343928571,2.595720935,2.293213514,1.232798163
7,03/07/2019,11,Gebaggerd,70,FALSE,12.1,1.67,12.87,13.63,28.17,0.51,5.82,6.19,0.217,0.003,0,0.558,0.775,100.9166667,100.9196667,0,41.48484,0.029931,0.00045,7.675855,0.006368,0.027297,14.69589,1.701537,23.496875,1.1471875,0.4,418.375,0.21,149.3875,12.619375,9.4115625,1.876830547,2.461061822,1.705002087
7,03/07/2019,12,Belucht,60,FALSE,14.5,1.29,11.65,12.37,25.31,1.51,5.1,8.55,0.147,2.616,0,0.019,0.166,172.6666667,175.2826667,0,42.89052,0.025988,0.000689,7.770452,0.005492,0.028229,15.02613,1.183145,23.371,1.144666667,0.4,421.1333333,0.21,134.36,11.37666667,9.612333333,2.295458476,1.878716484,1.394057019
7,03/07/2019,13,Phoslock,60,FALSE,12.6,0,11.5,7.43,18.93,0.84,7.1,8.22,0.204,0,0,1.497,1.701,138,138,0,42.24494,0.015635,0,7.794766,0.003307,0.024701,14.69108,1.445586,23.50358333,1.147333333,0.4,419.7416667,0.21,165.7991667,14.002,9.45025,1.872379788,3.666468725,1.70905498
