Unieke code,Exp_day,Datum,Cosm,Coding,Treatment,Cos.chla.bl.PAM,Totaal Chl-A watercolumn,Cos.yield.bl.PAM,disPO4,disN,TP,DO,pH,light_k,light_4perc
1,2,27/06/2019,3,Belucht,Belucht,6.03,66.23,0.7,0,2.24,74.27272727,9.139086538,9.683173077,1.822619295,1.755714981
2,2,27/06/2019,4,Belucht,Belucht,5.65,66.16,0,0,3.218,74.72727273,9.7046875,9.651458333,2.270340924,1.409479945
3,2,27/06/2019,12,Belucht,Belucht,3.21,55.79,0,0,4.936,56.13207547,8.856911765,9.659607843,2.567101713,1.24654196
4,2,27/06/2019,18,Belucht,Belucht,4.62,65.51,0,0,4.23,69.6969697,10.49285714,9.806785714,2.593926201,1.233651134
5,2,27/06/2019,2,Controle,Controle,6.16,64.82,0.71,0,4.81,55.43103448,9.371960784,9.635,1.812483125,1.765533679
6,2,27/06/2019,14,Controle,Controle,4.36,59.26,0,0,2.743,61.53846154,11.54338542,9.668671875,2.342990296,1.365776036
7,2,27/06/2019,16,Controle,Controle,3.85,54.74,0.7,0,3.612,72.84313725,12.42180804,9.732198661,2.108734793,1.517497606
8,2,27/06/2019,20,Controle,Controle,6.85,70.59,0,0,4.223,61.01010101,11.30138889,9.779126984,2.683069746,1.192663741
9,2,27/06/2019,1,Gebaggerd,Gebaggerd,42.7,69.79,0.74,0,4.569,54.81818182,10.77715942,9.501275362,1.965669193,1.627944321
10,2,27/06/2019,7,Gebaggerd,Gebaggerd,1.8,45.1,0.82,0,3.388,58.79310345,11.79666667,9.704411765,1.686982553,1.896877946
11,2,27/06/2019,11,Gebaggerd,Gebaggerd,5.77,62.66,0,0,1.971,60.10204082,10.4162,9.58755,3.36736196,0.950298791
12,2,27/06/2019,17,Gebaggerd,Gebaggerd,1.92,41.93,0.82,0,5.001,63.82352941,12.39177381,9.679666667,2.095740216,1.526906806
13,2,27/06/2019,control,0,Gracht,5.65,64.63,0.68,0,3.457,111.7171717,9.863425926,9.501111111,2.147932142,1.489804979
14,2,27/06/2019,5,IJzerkalkslib,IJzerkalkslib,2.31,50.81,0.7,0,2.886,42.77777778,11.69391667,9.607666667,1.863250775,1.717428509
15,2,27/06/2019,8,IJzerkalkslib,IJzerkalkslib,5.13,61.49,0.68,0,4.033,70.09615385,11.47093137,9.746609477,1.630449326,1.96264916
16,2,27/06/2019,10,IJzerkalkslib,IJzerkalkslib,2.31,51.07, ,0,2.727,61.25,11.1896875,9.791125,1.978388824,1.617477799
17,2,27/06/2019,15,IJzerkalkslib,IJzerkalkslib,3.98,56.95,0,0,3.145,61.15384615,11.71504365,9.655111111,2.444627868,1.308992686
18,2,27/06/2019,6,Phoslock,Phoslock,4.88,61.38,0.71,0,4.237,65.72916667,12.67385714,9.733,2.793383748,1.14556405
19,2,27/06/2019,9,Phoslock,Phoslock,2.05,48.45,0.8,0,4.439,45.48076923,12.04370096,9.761540202,1.622772158,1.971934251
20,2,27/06/2019,13,Phoslock,Phoslock,3.46,53.73,0.73,0,3.289,67.87234043,10.8634219,9.586439048,3.009453176,1.063316095
21,2,27/06/2019,19,Phoslock,Phoslock,0,40.83,0,0,3.794,57.02970297,11.30538462,9.786666667,3.399213515,0.941394233
22,7,03/07/2019,3,Belucht,Belucht,1.29,27.56,0,0.026,0.656,31.94266667,11.6655,9.502,1.543522145,2.073180492
23,7,03/07/2019,4,Belucht,Belucht,2.29,32.75,0,0.011,0.959,77.67766667,11.84156863,9.652941176,2.237016554,1.430476674
24,7,03/07/2019,12,Belucht,Belucht,1.29,25.31,0,2.616,0.166,175.2826667,11.37666667,9.612333333,2.295458476,1.394057019
25,7,03/07/2019,18,Belucht,Belucht,1.14,24.32,0,0.002,0.65,107.9186667,10.23126984,9.33531746,2.483568351,1.288468666
26,7,03/07/2019,2,Controle,Controle,0.71,24.74,0,0.001,1.697,81.91766667,13.15361111,9.438611111,2.139628495,1.495586738
