,,,,,,,?/L,?/L,?/L,,,,?/L,?/L,?/L,,,,,mg/L,mg/L,mg/L,mg/L,mg/L,,,mg,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,,,,,,,NIET validated,,,,,,,,,,,,,,,,,,,,
Exp_day,Datum,Cosm,Treatment,Secchi diepte,Bodemzicht,Turbiditeit,Cos.chla.bl.PAM,Cos.chla.gr.PAM,Cos.chla.br.PAM,Cos.yield.bl.PAM,Cos.yield.gr.PAM,Cos.yield.br.PAM,Cos.chla.bl.50CM,Cos.chla.gr.50CM,Cos.chla.br.50CM,Cos.yield.bl.50CM,Cos.yield.gr.50CM,Cos.yield.br.50CM,mL gefiltreerd voor?part-NUT,disTON,disNH4,disPO4,disNO2,disNO3 mg/l,partC,partN,partP (mg),partP mg/L,TP,Al ppm,Ca ppm,Fe ppm,La ppm,Mg ppm,Mn ppm,P ppm,S ppm,As ppm,Cd ppm,Cu ppm,Pb ppm,Zn ppm,As microgram/L,As ug/L,Temp,Dep100,DepthX,DepthY,SpCond,SpCond.1,Res,Sal,TDS,DO%,DO,BP,pH,ORP,PAR,refPAR,light_k,light_perc_bottom,light_4perc,Fit
0,25/06/2019,control,outside cosm,65,FALSE,NA,0,9.24,27.72,0,0.82,0.63,2.57,6.33,27.53,0,0.81,NA,60,1.293,0.143,0.003,0,1.293,,,14.325,238.75,238.753,,,,,,,,,,,,,,,,23.78927083,0.8075,0.911,1.15625,0.46875,451.1536458,2,0.23,0.3,78.03046875,6.554973958,757,9.2265625,-837.8125,1403.966146,10.3359375,1.774916063,2.376811383,1.802902158,0
2,27/06/2019,1,Dredged,85,FALSE,NA,42.7,0,27.09,0.74,0,0.7,NA,NA,NA,NA,NA,NA,55,4.437,0.132,0,0.042,4.395,,,3.015,54.81818182,54.818,0,50.788,0.159,0,6.913,0.012,0,18.185,0,0.0001,0.001,0.005,0.03,0,,24.26402899,0.817391304,0.911,1.157826087,0.447826087,450.1507246,2,0.22826087,0.3,129.4598551,10.77715942,757,9.501275362,-820.5971014,1234.36087,8.376811594,1.965669193,2.805889389,1.627944321,0
2,27/06/2019,2,Control,65,FALSE,NA,6.16,0,58.66,0.71,0,0.69,NA,NA,NA,NA,NA,NA,58,4.681,0.129,0,0.053,4.628,,,3.215,55.43103448,55.431,0,46.925,0.097,0,6.468,0.008,0,15.233,0.001,0,0.003,0.006,0.022,1,,24.13894118,0.834117647,0.911672549,1.158529412,0.458823529,450.0137255,2,0.228823529,0.3,112.2543137,9.371960784,757,9.635,-825.9215686,1177.852941,9.358823529,1.812483125,5.102661719,1.765533679,0
2,27/06/2019,3,Oxygenated,63,FALSE,NA,6.03,0,60.2,0.7,0,0.7,NA,NA,NA,NA,NA,NA,55,2.12,0.12,0,0,2.12,,,4.085,74.27272727,74.273,0,44.874,0.056,0,6.109,0.001,0,14.768,0,0,0.003,0.001,0.035,0,,24.29015625,0.63875,0.911,1.141875,0.4,447.96875,2,0.22625,0.3,109.7889423,9.139086538,757,9.683173077,-826.8954327,1566.859375,11.9375,1.822619295,2.631801687,1.755714981,0
2,27/06/2019,4,Oxygenated,58,FALSE,NA,5.65,0,60.51,0,0,0.7,NA,NA,NA,NA,NA,NA,55,3.09,0.128,0,0.019,3.071,,,4.11,74.72727273,74.727,0.034,46.459,0.204,0,6.279,0.018,0,15.232,0,0,0.001,0.009,0.065,0,,24.28864583,0.753125,0.911,1.151875,0.4,447.15625,2,0.223125,0.3,116.6083333,9.7046875,757,9.651458333,-822.3229167,1275.083333,9.572916667,2.270340924,1.895852807,1.409479945,0
2,27/06/2019,5,Ijzerkalkslib,68,FALSE,NA,2.31,2.46,46.04,0.7,0,0.7,NA,NA,NA,NA,NA,NA,54,2.755,0.131,0,0.009,2.746,,,2.31,42.77777778,42.778,0,46.555,0.225,0,6.421,0.027,0,14.972,0,0,0.004,0.003,0.028,0,,24.399,0.848666667,0.91,1.159666667,0.426666667,447.525,2,0.224,0.3,140.7841667,11.69391667,757,9.607666667,-815.9666667,1111.008333,8.358333333,1.863250775,3.992616477,1.717428509,0
2,27/06/2019,6,Phoslock,65,FALSE,NA,4.88,0,56.5,0.71,0,0.68,NA,NA,NA,NA,NA,NA,48,4.115,0.122,0,0.051,4.064,,,3.155,65.72916667,65.729,0,45.951,0.089,0,6.301,0.004,0,15.134,0,0,0.006,0.004,0.026,0,,24.53515306,0.680714286,0.91,1.144285714,0.414285714,445.3214286,2,0.222142857,0.3,152.9728571,12.67385714,757,9.733,-815.0204082,1008.302041,8,2.793383748,3.622948474,1.14556405,0
2,27/06/2019,7,Dredged,90,FALSE,NA,1.8,3.8,39.5,0.82,0,0.71,NA,NA,NA,NA,NA,NA,58,3.214,0.174,0,0.022,3.192,,,3.41,58.79310345,58.793,0,44.172,0.062,0,6.173,0,0,14.63,0,0,0.004,0.002,0.025,0,,24.77862745,0.679411765,0.910117647,1.145588235,0.4,440.5490196,2,0.22,0.3,143.0813725,11.79666667,757,9.704411765,-815.9215686,1561.715686,11.76470588,1.686982553,1.886031219,1.896877946,0
2,27/06/2019,8,Ijzerkalkslib,80,FALSE,NA,5.13,0,56.36,0.68,0,0.69,NA,NA,NA,NA,NA,NA,52,3.856,0.177,0,0.04,3.816,,,3.645,70.09615385,70.096,0,44.765,0.061,0.01,6.246,0,0,14.722,0,0,0.004,0,0.04,0,,24.80965686,0.592352941,0.911,1.138235294,0.410294118,445.25,2,0.221764706,0.3,139.1281863,11.47093137,757,9.746609477,-819.0882353,1674.542484,12.44689542,1.630449326,6.323523933,1.96264916,0
2,27/06/2019,9,Phoslock,70,FALSE,NA,2.05,3.29,43.11,0.8,0,0.7,NA,NA,NA,NA,NA,NA,52,4.31,0.129,0,0.061,4.249,,,2.365,45.48076923,45.481,0,46.854,0.052,0,6.429,0,0,15.055,0,0,0,0.002,0.023,0,,24.86527414,0.728421053,0.911,1.15,0.416154971,446.7719996,2,0.226315789,0.3,146.239789,12.04370096,757,9.761540202,-820.210978,1500.076939,9.955657618,1.622772158,4.172997983,1.971934251,0
2,27/06/2019,10,Ijzerkalkslib,75,FALSE,NA,2.31,5.65,43.11,NA,0,0.69,NA,NA,NA,NA,NA,NA,52,2.586,0.141,0,0.01,2.576,,,3.185,61.25,61.25,0,46.838,0.072,0,6.438,0.002,0,14.838,0.022,0,0.004,0.003,0.027,22,,25.0586875,0.53625,0.911,1.1325,0.40625,444.91875,2,0.2215625,0.3,136.3175,11.1896875,757,9.791125,-821.15,1690.975,12.55625,1.978388824,2.914662317,1.617477799,0
2,27/06/2019,11,Dredged,70,FALSE,NA,5.77,0,56.89,0,0,0.68,NA,NA,NA,NA,NA,NA,49,1.85,0.121,0,0,1.85,,,2.945,60.10204082,60.102,0,47.958,0.091,0,6.606,0.008,0,14.869,0,0,0,0.015,0.038,0,,24.2378,0.8105,0.911,1.1575,0.435,449.175,2,0.2265,0.3,125.0435,10.4162,757,9.58755,-822.93,678.91,5.25,3.36736196,0.513692785,0.950298791,0
2,27/06/2019,12,Oxygenated,58,FALSE,NA,3.21,0,52.58,0,0,0.71,NA,NA,NA,NA,NA,NA,53,4.805,0.131,0,0.079,4.726,,,2.975,56.13207547,56.132,0,46.873,0.07,0,6.371,0,0,14.872,0,0,0.006,0.004,0.041,0,,24.24872549,0.707058824,0.911,1.148529412,0.4,447.7352941,2,0.223529412,0.3,106.3240196,8.856911765,757,9.659607843,-825.872549,1103.632353,8.431372549,2.567101713,1.025664118,1.24654196,0
2,27/06/2019,13,Phoslock,65,FALSE,NA,3.46,0,50.27,0.73,0,0.69,NA,NA,NA,NA,NA,NA,47,3.167,0.122,0,0.023,3.144,,,3.19,67.87234043,67.872,0,47.292,0.117,0.003,6.439,0.008,0,15.115,0,0,0,0.012,0.032,0,,24.44123524,0.6864,0.911,1.1464,0.441266667,449.6126667,2,0.228,0.3,130.8789619,10.8634219,757,9.586439048,-818.7132381,1114.819429,8.058666667,3.009453176,0.947608773,1.063316095,0
2,27/06/2019,14,Control,66,FALSE,NA,4.36,0,54.9,0,0,0.69,NA,NA,NA,NA,NA,NA,52,2.613,0.13,0,0.011,2.602,,,3.2,61.53846154,61.538,0,47.259,0.114,0,6.434,0.013,0,15.014,0,0,0,0.006,0.032,0,,24.75229167,0.535625,0.9108125,1.133125,0.4,446.0494792,2,0.221041667,0.3,139.8716146,11.54338542,757,9.668671875,-815.1744792,1512.867188,11.77604167,2.342990296,1.138862408,1.365776036,0
2,27/06/2019,15,Ijzerkalkslib,67,FALSE,NA,3.98,0,52.97,0,0,0.66,NA,NA,NA,NA,NA,NA,52,3.01,0.135,0,0.027,2.983,,,3.18,61.15384615,61.154,0,43.868,0.119,0,6.398,0.01,0,14.364,0,0,0.004,0,0.03,0,,24.55203968,0.663333333,0.91,1.143333333,0.4,443.2972222,2,0.22,0.3,141.4071825,11.71504365,757,9.655111111,-815.6452381,1265.50754,9.390873016,2.444627868,1.260245851,1.308992686,0
2,27/06/2019,16,Control,75,FALSE,NA,3.85,2.77,48.12,0.7,0,0.68,NA,NA,NA,NA,NA,NA,51,3.468,0.144,0,0.039,3.429,,,3.715,72.84313725,72.843,0,45.353,0.064,0,6.414,0,0,14.496,0,0,0.005,0.006,0.023,0,,24.72027902,0.625,0.91,1.14,0.4,440.03125,2,0.22,0.3,150.4236607,12.42180804,757,9.732198661,-815.1138393,1384.441964,10.07254464,2.108734793,1.480902467,1.517497606,0
2,27/06/2019,17,Dredged,85,FALSE,NA,1.92,3.29,36.72,0.82,0,0.7,NA,NA,NA,NA,NA,NA,51,4.72,0.281,0,0.073,4.647,,,3.255,63.82352941,63.824,0,41.214,0.054,0,6.217,0,0,14.664,0,0.0001,0,0.012,0.027,0,,24.60644841,0.801666667,0.91,1.155833333,0.402777778,439.9166667,2,0.220555556,0.3,149.7160317,12.39177381,757,9.679666667,-815.5369048,1160.249603,9.073412698,2.095740216,0.609617862,1.526906806,0
2,27/06/2019,18,Oxygenated,65,FALSE,NA,4.62,0,60.89,0,0,0.66,NA,NA,NA,NA,NA,NA,49.5,4.093,0.137,0,0.068,4.025,,,3.45,69.6969697,69.697,0,40.339,0.064,0,6.274,0.001,0,14.583,0,0,0.001,0.004,0.024,0,,24.5602381,0.863571429,0.911,1.161428571,0.4,444.6071429,2,0.22,0.3,126.7142857,10.49285714,757,9.806785714,-823.5714286,815.1428571,6.071428571,2.593926201,1.626778054,1.233651134,0
2,27/06/2019,19,Phoslock,70,FALSE,NA,0,3.8,37.03,0,0.85,0.68,NA,NA,NA,NA,NA,NA,50.5,3.654,0.14,0,0.045,3.609,,,2.88,57.02970297,57.03,0.003,45.951,0.066,0,6.421,0,0,14.916,0.004,0,0.003,0.007,0.061,4,,24.96602564,0.718461538,0.911,1.149230769,0.415384615,446.2307692,2,0.223846154,0.3,137.5179487,11.30538462,757,9.786666667,-820.6410256,370.4615385,2.769230769,3.399213515,1.967637312,0.941394233,0
2,27/06/2019,20,Control,80,FALSE,NA,6.85,0,63.74,0,0,0.63,NA,NA,NA,NA,NA,NA,49.5,4.088,0.135,0,0.062,4.026,,,3.02,61.01010101,61.01,0,47.292,0.092,0,6.472,0.003,0,15.26,0.023,0,0.004,0.005,0.027,23,,25.03990741,0.610555556,0.911,1.139444444,0.411111111,444.3478836,2,0.221666667,0.3,137.6365079,11.30138889,757,9.779126984,-820.3095238,1152.719577,8.502645503,2.683069746,1.504037908,1.192663741,0
